provider,record_level,provider_id,offer_id,channel_type,country_or_region,official,api_base,openai_compatible,anthropic_compatible,free_type,free_quota,free_quota_unit,quota_reset,expires,requires_card,requires_identity_verification,requires_phone_region,model_id,model_name,model_family,context_window,modalities,tool_calling,structured_output,reasoning,web_search,coding_score_tier,reasoning_score_tier,long_context_score_tier,multimodal_score_tier,speed_tier,privacy_notes,data_training_policy,terms_risk,source_type,source_name,source_url,evidence_summary,last_checked,confidence,is_recommended,recommendation_reason,fetch_status,error_summary
Alibaba Cloud Model Studio / Qwen,provider,alibaba-model-studio,,official_cloud_platform,China/Global,True,https://dashscope.aliyuncs.com/compatible-mode/v1,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Alibaba Cloud Model Studio models,https://help.aliyun.com/zh/model-studio/models,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,"candidate source; verify credit, validity period, identity and region requirements",manual,
Anthropic Claude API,provider,anthropic-api,,official_model_vendor,Global,True,https://api.anthropic.com,no,yes,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,,official_docs,Anthropic Messages API,https://docs.anthropic.com/en/api/messages,Protocol reference record only; no free API quota is claimed.,2026-07-16,medium,False,protocol reference only; no verified free API quota,manual,
Baidu Qianfan / ERNIE,provider,baidu-qianfan,,official_cloud_platform,China,True,https://qianfan.baidubce.com,partial,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Baidu Qianfan docs,https://cloud.baidu.com/doc/WENXINWORKSHOP/,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,"candidate source; verify free quota, identity, region and billing rules",manual,
Cerebras Inference,provider,cerebras,,official_model_vendor,US/Global,True,https://api.cerebras.ai/v1,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Cerebras Inference docs,https://inference-docs.cerebras.ai/,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,candidate source; verify free or trial quota before recommending,manual,
Cloudflare Workers AI,provider,cloudflare-workers-ai,,official_cloud_platform,Global,True,https://api.cloudflare.com/client/v4/accounts/{account_id}/ai/run,partial,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Cloudflare Workers AI pricing,https://developers.cloudflare.com/workers-ai/platform/pricing/,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,"candidate source; verify free allocation, account requirements, and model pricing",manual,
DeepSeek API,provider,deepseek,,official_model_vendor,China/Global,True,https://api.deepseek.com,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,DeepSeek pricing docs,https://api-docs.deepseek.com/quick_start/pricing,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,candidate low-cost source; do not recommend as free without official free quota evidence,manual,
Fireworks AI,provider,fireworks-ai,,third_party_inference_provider,Global,False,https://api.fireworks.ai/inference/v1,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Fireworks AI docs,https://docs.fireworks.ai/,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,P1 candidate source; verify trial credit and pricing,manual,
Google Gemini API / Google AI Studio,provider,google-gemini,,official_model_vendor,Global,True,https://generativelanguage.googleapis.com,partial,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Google Gemini API pricing,https://ai.google.dev/gemini-api/docs/pricing,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,"candidate source; verify official Free Tier, rate limits, region and card requirements",manual,
GroqCloud,provider,groqcloud,,official_model_vendor,US/Global,True,https://api.groq.com/openai/v1,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,GroqCloud rate limits,https://console.groq.com/docs/rate-limits,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,candidate source; verify developer free limits and supported model list,manual,
Hugging Face Inference Providers,provider,huggingface-inference-providers,,third_party_inference_provider,Global,False,https://api-inference.huggingface.co,partial,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Hugging Face Inference Providers docs,https://huggingface.co/docs/inference-providers,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,candidate source; distinguish open weights from free hosted API,manual,
Mistral La Plateforme,provider,mistral,,official_model_vendor,EU/Global,True,https://api.mistral.ai,partial,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Mistral documentation,https://docs.mistral.ai/,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,candidate source; verify whether any free or trial API quota is currently available,manual,
Moonshot / Kimi API,provider,moonshot-kimi,,official_model_vendor,China,True,https://api.moonshot.cn/v1,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Moonshot pricing docs,https://platform.moonshot.cn/docs/pricing/chat,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,candidate source; do not recommend without official free API quota evidence,manual,
Nebius AI Studio,provider,nebius-ai,,third_party_inference_provider,Global/EU,False,https://api.studio.nebius.com/v1,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Nebius AI Studio docs,https://docs.nebius.com/studio/,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,"P1 candidate source; verify API access, credit and pricing",manual,
Novita,provider,novita,,third_party_inference_provider,Global,False,https://api.novita.ai/v3/openai,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Novita docs,https://novita.ai/docs,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,P1 candidate source; verify model pricing and credits,manual,
NVIDIA Build / API Catalog,provider,nvidia-build,,third_party_inference_provider,Global,False,https://integrate.api.nvidia.com/v1,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,NVIDIA Build,https://build.nvidia.com/,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,"P1 candidate source; verify free credits, endpoint and model terms",manual,
OpenAI API,provider,openai-api,,official_model_vendor,Global,True,https://api.openai.com/v1,yes,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,,official_docs,OpenAI API reference,https://platform.openai.com/docs/api-reference,Protocol reference record only; no free API quota is claimed.,2026-07-16,medium,False,protocol reference only; no verified free API quota,manual,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),cognitivecomputations,32768,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,cohere/north-mini-code:free,Cohere: North Mini Code (free),cohere,256000,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,google/gemma-4-26b-a4b-it:free,Google: Gemma 4 26B A4B  (free),google,262144,image|text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
